,title,price,region
0,"재고떨이)개당천원) 갤럭시 A7(2018), 갤럭시A8(2018), 갤럭시A8스타","1,000원",경기도 부천시 약대동
1,갤럭시22플러스 / 갤럭시워치4 클래식 판매합니다.,"700,000원",경기도 화성시 진안동
2,갤럭시S22울트라 512GB 화이트 자급제 판매해요. 갤럭시S22울트라 512GB 화이트 자급제 판매해요.,100만원,경기도 파주시 목동동
3,갤럭시탭 s6 lite 22년 5월 제조 (galaxy tab s6 lite),"250,000원",대구 북구 침산3동
4,갤럭시 z플립3 갤럭시 워치4 클래식 46,"750,000원",경기도 수원시 영통구 매탄3동
5,갤럭시플립3 + 갤럭시워치4 + 워치스트랩 + 스트랩박스,"600,000원",부산 사하구 당리동
6,갤럭시 galaxy galax ex black-03 RGB 컴퓨터 게이밍 마우스,"18,000원",충남 아산시 배방읍
7,"KT 갤럭시 S21 울트라 256GB,갤럭시버즈프로 블랙 판매합니다.","580,000원",인천 부평구 일신동
8,갤럭시 탭 S8+ & 갤럭시 탭 S7+ 뷰 커버 (화이트),"40,000원",부산 동래구 온천동
9,갤럭시S22플러스 256g 그린 + 갤럭시워치4 팝니다,"900,000원",강원도 춘천시 동면
10,[자급제] 갤럭시 Z플립4 + 갤럭시 버즈2PRO 새상품 판매합니다,110만 8500원,울산 중구 복산2동
11,갤럭시블래스터 파워레인저 갤럭시포스,"7,000원",경남 김해시 주촌면
12,2-3주 된 갤럭시 탭 s6 Lite 128gb (galaxy tab) LTE 풀박,"380,000원",경남 창원시 진해구 덕산동
13,(미개봉 새제품) 갤럭시워치4 40mm 실버 미개봉 팝니다. 갤럭시워치4 미개봉,"185,000원",서울 송파구 장지동
14,갤럭시on7 갤럭시A9pro 폰2대팜,"60,000원",강원도 속초시 조양동
15,[새제품] 갤럭시워치4 40mm 실버 미개봉 (보호필름 증정) SM-R860 갤럭시워치4 40,"185,000원",서울 성동구 성수2가제1동
16,(미개봉 새제품) 갤럭시워치4 40mm 실버 미개봉 팝니다. 갤럭시워치4 미개봉,"185,000원",서울 마포구 망원제1동
17,galaxy gtx970 4g 그래픽카드 갤럭시,"100,000원",부산 수영구 광안제1동
18,중고 갤럭시 Galaxy Tap E Black 텝 테블릿 셀룰러,"40,000원",충남 천안시 서북구 두정동
19,"KT 갤럭시 S21 울트라 256GB,갤럭시버즈프로 블랙 판매합니다.","580,000원",인천 부평구 일신동
20,중고 갤럭시 Galaxy Tap E Black 텝 테블릿 셀룰러,"40,000원",충남 아산시 온양6동
21,Galaxy A90 5G(갤럭시) 128GB 팔아요,"110,000원",경기도 수원시 영통구 매탄2동
