,title,price,region
0,아이폰12미니 아이폰미니12 아이폰12 아이폰미니 12 mini 128기가 128GB 128,"430,000원",경기도 화성시 영천동
1,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 거제시 문동동
2,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 창원시 성산구 성주동
3,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 창원시 마산회원구 회원동
4,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",경남 김해시 주촌면
5,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 사하구 괴정제3동
6,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 북구 화명제2동
7,"아이폰) iPhone XS, Gold, 512GB 아이폰, 골드 홍콩판","450,000원",서울 동대문구 회기동
8,아이폰se2 128g 레드 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",울산 북구 연암동
9,아이폰se2 128g 레드 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 기장군 정관읍
10,아이폰se2 128g 레드 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 수영구 망미제2동
11,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"185,000원",서울 송파구 방이1동
12,아이폰14 . 아이폰14 프로 . 아이폰14 프로맥스 즉시 수령가능 kt sk lg 재고,100만원,대구 수성구 범어동
13,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"185,000원",서울 양천구 신정1동
14,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"185,000원",서울 서초구 방배본동
15,아이폰14pro max 실버 256기가 자급제 아이폰 프로 맥스 실버,193만원,경기도 부천시 소사동
16,아이폰se2 와 아이폰8(메인보드 나감),"250,000원",부산 사하구 신평동
17,아이폰 8+ 아이폰 8플러스,"9,999원",서울 광진구 화양동
18,"맥북에어 m1 풀박 애케플 판매 또는 아이폰13프로아이패드 5세대 m1으로교환 아이폰11,12도 추금 주시고 교환","980,000원",경기도 고양시 일산동구 사리현동
19,**급매**아이폰 11 프로 256기가 미드나잇 그린 (iPhone 11 Pro 256GB) 팝니다,"520,000원",서울 서초구 서초3동
20,아이폰13미니 메모리512기가 스타라이트 판매 아이폰 13미니 입니다,"880,000원",대구 달서구 대천동
21,아이폰12프로 or 아이폰12프로맥스,"700,000원",대전 서구 갈마동
22,"아이폰 14 PRO 1TB, 아이폰 14 프로 1TB",218만 5000원,서울 동대문구 회기동
23,아이폰 11pro 아이폰11프로 256g 미드나잇그린 판매합니다,"500,000원",경남 김해시 주촌면
24,아이폰 12미니(아이폰 12mini) 블랙 128GB 풀박스 팔아요,"410,000원",경기도 오산시 부산동
25,아이폰 12 128 gb 레드 ( iphone 12 ),"500,000원",경기도 의왕시 학의동
26,아이폰13프로맥스 또는 아이폰14프로로 14프맥 구함,190만원,경남 김해시 주촌면
