,title,price,region
0,아이폰12미니 아이폰미니12 아이폰12 아이폰미니 12 mini 128기가 128GB 128,"430,000원",경기도 화성시 영천동
1,아이폰 아이폰11 아이폰12 아이폰 13 xs xr x 아이폰전기종 최고가매입,999만 9999원,서울 강남구 삼성2동
2,아이폰7 아이폰8 아이폰se2 아이폰se3 케이스,"3,000원",경기도 안양시 만안구 석수1동
3,아이폰14 아이폰14 플러스 아이폰14 프로 아이폰14 프로맥스/64G/128G/256G/512G/1TB,9억 9999만 9999원,부산 중구 광복동
4,아이폰se3 (아이폰se se2 아이폰8 아이폰7 호환) 마리몬드 한정판 무궁화 자수케이스 판매,"35,000원",충북 청주시 흥덕구 봉명2.송정동
5,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 거제시 문동동
6,"아이폰 12, 아이폰13 아이폰14 프로 프로맥스 삽니다 미개봉 중고",777만 7777원,서울 동작구 대방동
7,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 창원시 성산구 성주동
8,아이폰13미니로 아이폰14프로 아니면아이폰14구합니다,9억 9999만 9999원,경남 창원시 의창구 명서동
9,아이폰se2 128gb red 박스드림/ 아이폰se3 아이폰8 아이폰7,"190,000원",경남 창원시 마산회원구 회원동
10,(새상품)아이폰13케이스/아이폰13프로pro케이스/아이폰12케이스/아이폰12프로pro케이스풀커버젤리투명케이스,"4,000원",서울 관악구 신사동
11,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",경남 김해시 주촌면
12,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 사하구 괴정제3동
13,아이폰se2 128기가 red 박스포함/ 아이폰se3 아이폰8 아이폰7,"175,000원",부산 북구 화명제2동
14,"아이폰) iPhone XS, Gold, 512GB 아이폰, 골드 홍콩판","450,000원",서울 동대문구 회기동
15,아이폰 13pro 시에라블루 >> 아이폰 14pro 추금 드리고 교환 원합니다. (아이폰 교환),150만원,경기도 화성시 동탄6동
16,새상품) 아이폰8케이스 아이폰케이스 아이폰se2 se3,"2,000원",경기도 안양시 만안구 석수1동
