,pNum,price,rNum
0,13,430000,36
1,13,780000,36
2,13,820000,36
3,13,560000,36
4,13,370000,36
5,13,400000,36
6,13,500000,36
7,13,780000,36
8,13,720000,36
9,13,720000,36
10,13,570000,36
11,13,400000,36
12,13,580000,36
13,13,430000,36
14,13,430000,36
15,13,850000,36
16,13,600000,36
17,13,750000,36
18,13,380000,36
19,13,700000,36
20,13,500000,36
21,13,550000,36
22,13,550000,36
23,13,430000,36
24,13,750000,36
25,13,750000,36
26,13,550000,36
27,13,550000,36
28,13,600000,36
29,13,150000,36
30,13,150000,36
31,13,550000,36
32,13,630000,36
33,13,730000,36
34,13,720000,36
35,13,430000,36
36,13,480000,36
37,13,400000,36
38,13,720000,36
39,19,310000,36
40,19,190000,36
41,19,300000,36
42,19,300000,36
43,4,1480000,36
44,4,1480000,36
45,4,1050000,36
46,4,1650000,36
47,4,1550000,36
48,4,1850000,36
49,4,1490000,36
50,4,1500000,36
51,4,1480000,36
52,4,1500000,36
53,4,1500000,36
54,14,190000,36
55,14,200000,36
56,14,200000,36
57,14,210000,36
58,14,210000,36
59,14,210000,36
60,14,210000,36
61,14,210000,36
62,9,600000,36
63,9,670000,36
64,9,850000,36
65,9,1000000,36
66,9,610000,36
67,9,1050000,36
68,9,650000,36
69,9,900000,36
70,9,1050000,36
71,9,650000,36
72,9,650000,36
73,9,1490000,36
74,9,600000,36
75,9,600000,36
76,9,1100000,36
77,9,1200000,36
78,9,1200000,36
79,9,900000,36
80,9,700000,36
81,17,550000,36
82,17,490000,36
83,17,620000,36
84,17,450000,36
85,17,360000,36
86,17,460000,36
87,17,300000,36
88,17,400000,36
89,17,310000,36
90,17,310000,36
91,17,350000,36
92,17,350000,36
93,17,440000,36
94,17,440000,36
95,17,380000,36
96,17,280000,36
97,17,280000,36
98,17,320000,36
99,17,620000,36
100,17,620000,36
101,17,600000,36
102,17,500000,36
103,17,500000,36
104,17,350000,36
105,17,450000,36
106,17,450000,36
107,17,330000,36
108,17,450000,36
109,17,330000,36
110,17,450000,36
111,17,250000,36
112,17,450000,36
113,17,600000,36
114,17,560000,36
115,17,560000,36
116,17,450000,36
117,17,350000,36
118,17,350000,36
119,17,280000,36
120,17,330000,36
121,17,440000,36
122,17,650000,36
123,17,650000,36
124,17,599000,36
125,17,599000,36
126,17,200000,36
127,17,300000,36
128,21,260000,36
129,21,270000,36
130,30,40000,36
131,30,63000,36
132,30,130000,36
133,30,130000,36
134,30,120000,36
135,30,50000,36
136,30,50000,36
137,23,170000,36
138,18,400000,36
139,20,250000,36
140,20,250000,36
141,33,40000,36
142,35,440000,36
143,35,560000,36
144,35,500000,36
145,35,350000,36
146,35,650000,36
147,35,650000,36
148,35,900000,36
149,35,490000,36
150,35,350000,36
151,35,550000,36
152,35,550000,36
153,48,150000,36
154,48,150000,36
155,99,280000,36
156,99,370000,36
157,99,360000,36
158,81,460000,36
159,81,460000,36
160,81,500000,36
161,47,350000,36
162,47,330000,36
163,47,200000,36
164,47,240000,36
165,47,240000,36
166,101,150000,36
167,49,90000,36
168,49,90000,36
169,49,170000,36
170,49,170000,36
171,77,950000,36
172,77,950000,36
173,77,830000,36
174,80,900000,36
175,80,900000,36
176,43,580000,36
177,76,1600000,36
178,51,70000,36
179,51,70000,36
180,51,70000,36
181,74,85000,36
182,78,41000,36
183,78,41000,36
184,78,650000,36
185,57,240000,36
186,57,240000,36
187,91,100000,36
188,114,50000,36
189,13,700000,80
190,13,740000,80
191,13,740000,80
192,13,450000,80
193,13,380000,80
194,13,380000,80
195,13,750000,80
196,13,750000,80
197,13,750000,80
198,13,380000,80
199,13,360000,80
200,13,670000,80
201,13,700000,80
202,13,600000,80
203,13,350000,80
204,13,760000,80
205,13,760000,80
206,13,760000,80
207,13,680000,80
208,13,720000,80
209,13,680000,80
210,13,680000,80
211,13,800000,80
212,13,700000,80
213,13,560000,80
214,13,800000,80
215,13,830000,80
216,13,830000,80
217,13,355000,80
218,13,700000,80
219,13,400000,80
220,19,300000,80
221,19,260000,80
222,19,225000,80
223,4,1650000,80
224,4,1480000,80
225,4,1500000,80
226,4,1690000,80
227,4,1500000,80
228,4,1500000,80
229,4,1470000,80
230,4,1850000,80
231,4,1850000,80
232,14,220000,80
233,14,280000,80
234,14,280000,80
235,9,770000,80
236,9,1050000,80
237,9,1050000,80
238,9,1000000,80
239,9,1000000,80
240,9,1000000,80
241,9,1390000,80
242,9,1390000,80
243,9,820000,80
244,9,700000,80
245,9,700000,80
246,9,1150000,80
247,9,1150000,80
248,9,1120000,80
249,9,1120000,80
250,9,900000,80
251,9,655000,80
252,9,950000,80
253,9,950000,80
254,9,950000,80
255,9,950000,80
256,9,1180000,80
257,9,950000,80
258,9,900000,80
259,9,900000,80
260,9,900000,80
261,9,600000,80
262,9,600000,80
263,9,750000,80
264,9,750000,80
265,9,10800003000,80
266,9,950000,80
267,9,950000,80
268,9,1100000,80
269,9,630000,80
270,9,630000,80
271,17,490000,80
272,17,490000,80
273,17,490000,80
274,17,550000,80
275,17,470000,80
276,17,470000,80
277,17,430000,80
278,17,320000,80
279,17,550000,80
280,17,420000,80
281,17,380000,80
282,17,380000,80
283,21,270000,80
284,21,320000,80
285,21,270000,80
286,21,140000,80
287,26,140000,80
288,23,150000,80
289,23,150000,80
290,23,140000,80
291,25,50000,80
292,25,50000,80
293,25,95000,80
294,25,155000,80
295,25,74000,80
296,25,74000,80
297,18,340000,80
298,20,270000,80
299,20,280000,80
300,20,260000,80
301,20,260000,80
302,20,260000,80
303,20,250000,80
304,20,250000,80
305,20,220000,80
306,35,450000,80
307,35,950000,80
308,35,600000,80
309,35,600000,80
310,45,400000,80
311,45,400000,80
312,45,360000,80
313,48,252000,80
314,99,270000,80
315,47,230000,80
316,47,330000,80
317,49,150000,80
318,49,150000,80
319,49,100000,80
320,43,630000,80
321,76,1350000,80
322,13,410000,28
323,13,690000,28
324,13,750000,28
325,13,750000,28
326,13,750000,28
327,13,475000,28
328,13,400000,28
329,13,770000,28
330,13,770000,28
331,13,700000,28
332,13,700000,28
333,13,750000,28
334,13,720000,28
335,19,450000,28
336,19,450000,28
337,4,1700000,28
338,4,1700000,28
339,4,1700000,28
340,14,150000,28
341,14,150000,28
342,9,1000000,28
343,9,760000,28
344,17,500000,28
345,17,450000,28
346,17,490000,28
347,17,500000,28
348,17,500000,28
349,30,110000,28
350,23,150000,28
351,45,520000,28
352,48,100000,28
353,99,360000,28
354,99,370000,28
355,99,360000,28
356,81,550000,28
357,47,280000,28
358,101,220000,28
359,49,120000,28
360,49,150000,28
361,50,45000,28
362,50,80000,28
363,50,40000,28
364,82,250000,28
365,82,250000,28
366,100,330000,28
367,51,420000,28
368,57,220000,28
369,13,500000,29
370,13,650000,29
371,13,650000,29
372,4,1900000,29
373,9,700000,29
374,9,700000,29
375,9,700000,29
376,9,1100000,29
377,9,1100000,29
378,9,1100000,29
379,9,1250000,29
380,9,1250000,29
381,9,1100000,29
382,9,950000,29
383,9,950000,29
384,21,300000,29
385,25,120000,29
386,48,250000,29
387,99,330000,29
388,49,70000,29
389,76,1330000,29
390,76,1330000,29
391,13,500000,114
392,13,600000,114
393,13,400000,114
394,13,410000,114
395,13,650000,114
396,13,684000,114
397,13,750000,114
398,13,380000,114
399,13,700000,114
400,13,700000,114
401,13,550000,114
402,13,800000,114
403,13,690000,114
404,13,450000,114
405,13,450000,114
406,13,650000,114
407,13,690000,114
408,4,1520000,114
409,4,1760000,114
410,4,1700000,114
411,4,1700000,114
412,4,1700000,114
413,9,1150000,114
414,9,920000,114
415,9,750000,114
416,9,750000,114
417,9,750000,114
418,9,750000,114
419,9,1230000,114
420,9,900000,114
421,9,1150000,114
422,9,750000,114
423,17,350000,114
424,17,350000,114
425,17,420000,114
426,17,350000,114
427,17,400000,114
428,17,460000,114
429,21,220000,114
430,21,220000,114
431,30,72000,114
432,30,100000,114
433,23,290000,114
434,23,115000,114
435,23,115000,114
436,25,70000,114
437,25,70000,114
438,35,900000,114
439,45,300000,114
440,45,375000,114
441,48,190000,114
442,36,120000,114
443,43,510000,114
444,78,90000,114
445,13,850000,75
446,13,850000,75
447,13,540000,75
448,13,460000,75
449,13,420000,75
450,13,430000,75
451,13,430000,75
452,13,400000,75
453,13,300000,75
454,19,330000,75
455,19,330000,75
456,4,1100000,75
457,4,1480000,75
458,14,210000,75
459,9,970000,75
460,9,710000,75
461,17,420000,75
462,17,420000,75
463,17,300000,75
464,17,430000,75
465,17,430000,75
466,21,200000,75
467,20,300000,75
468,35,70000,75
469,45,350000,75
470,64,150000,75
471,64,150000,75
472,64,190000,75
473,64,190000,75
474,43,570000,75
475,78,950000,75
476,78,950000,75
477,13,730000,184
478,13,720000,184
479,13,500000,184
480,13,500000,184
481,13,400000,184
482,13,780000,184
483,13,740000,184
484,13,500000,184
485,13,400000,184
486,13,580000,184
487,13,580000,184
488,19,80000,184
489,19,260000,184
490,4,17400009000,184
491,14,120000,184
492,14,150000,184
493,14,190000,184
494,14,190000,184
495,9,1050000,184
496,9,1150000,184
497,9,950000,184
498,9,1100000,184
499,9,1100000,184
500,9,1000000,184
501,9,1000000,184
502,9,1000000,184
503,17,400000,184
504,17,400000,184
505,21,190000,184
506,21,280000,184
507,21,280000,184
508,23,150000,184
509,23,150000,184
510,23,150000,184
511,25,70000,184
512,64,150000,184
513,48,200000,184
514,99,330000,184
515,81,360000,184
516,77,750000,184
517,43,640000,184
518,78,65000,184
519,111,90000,184
520,40,320000,184
521,13,870000,149
522,13,680000,149
523,13,630000,149
524,13,400000,149
525,13,700000,149
526,13,700000,149
527,13,680000,149
528,13,370000,149
529,13,340000,149
530,13,340000,149
531,13,630000,149
532,13,420000,149
533,13,480000,149
534,13,850000,149
535,13,850000,149
536,13,580000,149
537,13,750000,149
538,13,750000,149
539,13,820000,149
540,19,180000,149
541,19,300000,149
542,19,310000,149
543,19,300000,149
544,4,2000000,149
545,4,2000000,149
546,4,1500000,149
547,4,1500000,149
548,4,1800000,149
549,4,1750000,149
550,4,1750000,149
551,4,1800000,149
552,4,1490000,149
553,4,1550000,149
554,4,1550000,149
555,4,1550000,149
556,4,1720000,149
557,4,1720000,149
558,4,1060000,149
559,14,170000,149
560,9,1000000,149
561,9,1000000,149
562,9,900000,149
563,9,1050000,149
564,9,1000000,149
565,9,950000,149
566,9,930000,149
567,9,1090000,149
568,17,400000,149
569,17,680000,149
570,17,680000,149
571,17,680000,149
572,17,430000,149
573,17,430000,149
574,17,250000,149
575,17,630000,149
576,17,350000,149
577,17,500000,149
578,17,290000,149
579,17,500000,149
580,17,360000,149
581,21,230000,149
582,23,230000,149
583,25,80000,149
584,25,200000,149
585,25,200000,149
586,25,120000,149
587,45,390000,149
588,45,330000,149
589,48,290000,149
590,99,320000,149
591,47,180000,149
592,47,325000,149
593,47,320000,149
594,47,320000,149
595,49,50000,149
596,36,140000,149
597,74,230000,149
598,78,510000,149
599,13,850000,76
600,13,750000,76
601,13,430000,76
602,13,420000,76
603,13,790000,76
604,13,700000,76
605,13,370000,76
606,13,370000,76
607,13,710000,76
608,13,370000,76
609,13,420000,76
610,13,420000,76
611,13,340000,76
612,13,710000,76
613,13,585000,76
614,13,600000,76
615,13,600000,76
616,13,450000,76
617,13,450000,76
618,13,680000,76
619,13,680000,76
620,13,700000,76
621,13,530000,76
622,13,530000,76
623,19,260000,76
624,19,260000,76
625,4,1000000,76
626,4,1770000,76
627,4,1290000,76
628,4,1290000,76
629,4,1630000,76
630,4,1400000,76
631,4,1700000,76
632,14,209000,76
633,14,150000,76
634,9,760000,76
635,9,640000,76
636,9,640000,76
637,9,600000,76
638,9,600000,76
639,9,700000,76
640,9,750000,76
641,9,10300006000,76
642,9,750000,76
643,9,980000,76
644,17,600000,76
645,17,520000,76
646,17,520000,76
647,17,430000,76
648,21,210000,76
649,21,350000,76
650,21,350000,76
651,30,120000,76
652,26,100000,76
653,26,100000,76
654,26,160000,76
655,26,160000,76
656,23,120000,76
657,35,1070000,76
658,45,430000,76
659,45,420000,76
660,99,285000,76
661,99,285000,76
662,81,490000,76
663,47,350000,76
664,70,100000,76
665,101,200000,76
666,77,960000,76
667,46,270000,76
668,43,700000,76
669,76,1230000,76
670,82,350000,76
671,100,340000,76
672,100,340000,76
673,100,260000,76
674,100,260000,76
675,100,250000,76
676,13,370000,99
677,13,680000,99
678,13,760000,99
679,13,690000,99
680,13,580000,99
681,13,580000,99
682,13,650000,99
683,13,720000,99
684,13,600000,99
685,13,694000,99
686,13,694000,99
687,13,899000,99
688,13,899000,99
689,13,430000,99
690,13,430000,99
691,13,650000,99
692,13,650000,99
693,13,650000,99
694,13,680000,99
695,13,500000,99
696,13,730000,99
697,13,730000,99
698,13,650000,99
699,13,650000,99
700,13,650000,99
701,13,650000,99
702,13,900000,99
703,13,790000,99
704,13,790000,99
705,13,670000,99
706,13,580000,99
707,13,580000,99
708,13,750000,99
709,13,580000,99
710,13,580000,99
711,13,750000,99
712,13,580000,99
713,13,430000,99
714,13,430000,99
715,13,550000,99
716,13,330000,99
717,13,699000,99
718,13,750000,99
719,13,700000,99
720,13,550000,99
721,13,790000,99
722,13,790000,99
723,13,480000,99
724,13,680000,99
725,13,430000,99
726,13,600000,99
727,13,600000,99
728,13,600000,99
729,13,730000,99
730,13,800000,99
731,13,800000,99
732,13,600000,99
733,13,600000,99
734,13,827000,99
735,13,790000,99
736,13,420000,99
737,13,690000,99
738,13,400000,99
739,13,700000,99
740,13,750000,99
741,13,720000,99
742,5,500000,99
743,5,650000,99
744,19,410000,99
745,19,410000,99
746,19,330000,99
747,19,270000,99
748,19,270000,99
749,19,190000,99
750,19,300000,99
751,19,300000,99
752,19,320000,99
753,4,1750000,99
754,4,11700005000,99
755,4,2420000,99
756,4,2420000,99
757,4,1780000,99
758,4,1160000,99
759,4,15500005000,99
760,4,1650000,99
761,4,1620000,99
762,4,1820000,99
763,4,1820000,99
764,4,1890000,99
765,4,1750000,99
766,4,1650000,99
767,4,1650000,99
768,4,2140000,99
769,4,1470000,99
770,4,1900000,99
771,4,1900000,99
772,4,16200005000,99
773,4,1730000,99
774,4,1000000,99
775,4,1660000,99
776,4,1070000,99
777,4,1660000,99
778,4,1510000,99
779,4,12100009000,99
780,4,1800000,99
781,4,1800000,99
782,4,1950000,99
783,4,1500000,99
784,4,13400005000,99
785,4,1700000,99
786,4,1700000,99
787,4,1480000,99
788,14,200000,99
789,9,1230000,99
790,9,1150000,99
791,9,820000,99
792,9,820000,99
793,9,950000,99
794,9,900000,99
795,9,990000,99
796,9,1650000,99
797,9,1580000,99
798,9,700000,99
799,9,1180000,99
800,9,1150000,99
801,9,1400000,99
802,9,700000,99
803,9,1000000,99
804,9,700000,99
805,9,1000000,99
806,9,620000,99
807,9,620000,99
808,9,620000,99
809,9,1230000,99
810,9,900000,99
811,9,900000,99
812,9,920000,99
813,9,700000,99
814,9,1100000,99
815,9,1100000,99
816,9,670000,99
817,9,670000,99
818,9,990000,99
819,9,990000,99
820,9,1080000,99
821,9,1080000,99
822,9,1080000,99
823,9,1250000,99
824,9,1200000,99
825,9,1250000,99
826,9,1200000,99
827,9,1000000,99
828,9,760000,99
829,9,1050000,99
830,9,1200000,99
831,9,1000000,99
832,9,980000,99
833,9,1300000,99
834,17,280000,99
835,17,280000,99
836,17,500000,99
837,17,540000,99
838,17,470000,99
839,17,570000,99
840,17,400000,99
841,17,590000,99
842,17,640000,99
843,17,640000,99
844,17,400000,99
845,17,400000,99
846,17,660000,99
847,17,480000,99
848,17,480000,99
849,17,480000,99
850,17,350000,99
851,17,350000,99
852,17,350000,99
853,17,550000,99
854,17,550000,99
855,17,550000,99
856,17,580000,99
857,17,650000,99
858,17,650000,99
859,17,500000,99
860,17,590000,99
861,17,590000,99
862,17,420000,99
863,17,500000,99
864,17,530000,99
865,17,530000,99
866,17,470000,99
867,17,470000,99
868,17,500000,99
869,17,520000,99
870,17,520000,99
871,17,700000,99
872,17,500000,99
873,21,215000,99
874,21,220000,99
875,30,60000,99
876,30,60000,99
877,30,100000,99
878,23,165000,99
879,23,190000,99
880,23,130000,99
881,23,180000,99
882,25,100000,99
883,25,100000,99
884,25,140000,99
885,25,140000,99
886,18,450000,99
887,18,400000,99
888,20,300000,99
