,pName,pNum
0,아이폰14PROMAX,1
1,아이폰14PRO,2
2,아이폰14+,3
3,아이폰14,4
4,아이폰SE3,5
5,아이폰13PROMAX,6
6,아이폰13PRO,7
7,아이폰13MINI,8
8,아이폰13,9
9,아이폰12PROMAX,10
10,아이폰12PRO,11
11,아이폰12MINI,12
12,아이폰12,13
13,아이폰SE2,14
14,아이폰11PROMAX,15
15,아이폰11PRO,16
16,아이폰11,17
17,아이폰XSMAX,18
18,아이폰XS,19
19,아이폰XR,20
20,아이폰X,21
21,아이폰8PLUS,22
22,아이폰8,23
23,아이폰7PLUS,24
24,아이폰7,25
25,아이폰SE,26
26,아이폰6SPLUS,27
27,아이폰6S,28
28,아이폰6PLUS,29
29,아이폰6,30
30,아이폰5S,31
31,아이폰4S,32
32,아이폰4,33
33,ON7,34
34,GRANDMAX,35
35,M12,36
36,WIDE4,37
37,WIDE5,38
38,WIDE3,39
39,QUANTUM3,40
40,BUDDY2,41
41,JUMP2,42
42,S22,43
43,S21FE,44
44,S21,45
45,S20FE,46
46,S20,47
47,S10,48
48,S9,49
49,S8,50
50,S7,51
51,S6,52
52,S5,53
53,A04,54
54,A13,55
55,A13|WIDE6,56
56,A23,57
57,A33,58
58,A53,59
59,A73,60
60,A02,61
61,A12,62
62,A22|BUDDY,63
63,A32|JUMP,64
64,A42,65
65,A52,66
66,A72,67
67,A01,68
68,A11,69
69,A21,70
70,A31,71
71,A41,72
72,A51,73
73,A71|QUANTUM,74
74,XCOVER5|XCOVER,75
75,ZFOLD4|FOLD4,76
76,ZFOLD3|FOLD3,77
77,ZFOLD2|FOLD2,78
78,FOLD,79
79,ZFLIP4|FLIP4,80
80,ZFLIP3|FLIP3,81
81,ZFLIP|FLIP,82
82,J8,83
83,J7|WIDE2,84
84,J6,85
85,J5,86
86,J4,87
87,J3,88
88,J2,89
89,A10,90
90,A20,91
91,A30,92
92,A40,93
93,A50,94
94,A60,95
95,A70,96
96,A80,97
97,A90,98
98,NOTE20,99
99,NOTE10,100
100,NOTE9,101
101,NOTE8,102
102,NOTE7,103
103,NOTEFE,104
104,NOTE5,105
105,NOTE4,106
106,NOTE3,107
107,NOTE2,108
108,A9PRO|A8S,109
109,A9,110
110,A8,111
111,A7,112
112,A6,113
113,A5,114
